task_id,exclusion_reason_code,review_notes
A1-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00004,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00005,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00006,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00007,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00008,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00009,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00010,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00011,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00012,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00013,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00014,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00015,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00016,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00017,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00018,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00019,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-00020,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00001,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00002,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00003,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00004,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00005,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
A1-CN_A-20220630-00006,human_attestation_missing,已采集 forward close 原始响应快照；等待独立人工签核。
