task_id,category,forecast_origin,outcome_available_at,evidence_url,evidence_published_at,content_sha256,is_estimated_date,reviewer,outcome_available_at_source,evidence_rationale,manual_review_eligible
A1-00001,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/600519.SS/history,2025-07-04T07:00:00Z,2167b43d8c0669cd8cf4fdbbed74155db2dcbcfad3e429f55c511bfd939ccb37,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00002,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/000858.SZ/history,2025-07-04T07:00:00Z,634221a6fc563896f1a499b66d8ce4a48a791851ef68921667326a6e2fbb9ac7,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00003,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/601318.SS/history,2025-07-04T07:00:00Z,94d97028404643684418c8654a47759b4e3d6e3b7c4b364f9639b8b4eba78c77,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00004,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/600036.SS/history,2025-07-04T07:00:00Z,9183467e84b3a06b00c6f3105b80573dd9bde7455a3dcf8cbcec7f87049c36bb,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00005,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/601398.SS/history,2025-07-04T07:00:00Z,6011c8f4b7355e7601ef0e24b9a027953584b72216774d32522f0750596b42ce,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00006,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/600030.SS/history,2025-07-04T07:00:00Z,0456f0b996dca222b6b9fbce4c9f921ea46af93d920c6bc3774d8c9b7b581f2d,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00007,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/300750.SZ/history,2025-07-04T07:00:00Z,86c209ac216dc565c2e95b3deae3e213df8cf01278918fd187423161f31cdfa1,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00008,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/601012.SS/history,2025-07-04T07:00:00Z,c4b52eb9c8b10fd4c52e8302c9e0bd551d680cd31ad2f835fff0785038401b89,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00009,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/002594.SZ/history,2025-07-04T07:00:00Z,93ccfd117b1a8b93e806315ac7fbd17b7d42ed0a902f3279a026730658254f84,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00010,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/300760.SZ/history,2025-07-04T07:00:00Z,ffec0ede3f1a01f9b8ff2199a80f31889bd404549b5787e4cfe029d9799583bd,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00011,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/600276.SS/history,2025-07-04T07:00:00Z,51770f7f4fe9a461c1f210856117d6b63517e1287b1a0b8cb4511554c118e72c,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00012,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/603259.SS/history,2025-07-04T07:00:00Z,763cc71e2584c707078b91457f53f15bde6c1e34af30e930f1bb29686d9fb023,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00013,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/000333.SZ/history,2025-07-04T07:00:00Z,3d032fabe52253a9a0a84147b6dab96c5fa06b23834faaf5333403aafddd3ede,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00014,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/000651.SZ/history,2025-07-04T07:00:00Z,ed928f7d6b08b8e304825857f09070acc7bc5bfd278ae95dd6316c04ecf44fe8,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00015,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/603288.SS/history,2025-07-04T07:00:00Z,f33d2a7b8a5bc4769dc667ab36d8af9d2db6d0aa8092a7d6de8d4574842f8b13,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00016,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/601888.SS/history,2025-07-04T07:00:00Z,76d303b392b0db5dd1db48460321d66411f6cfdf8378c274249097b1f0cfec3c,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00017,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/300059.SZ/history,2025-07-04T07:00:00Z,160e9292c7269a89e79ba2a630225a762246438a40ab360698e286aded74ab41,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00018,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/688981.SS/history,2025-07-04T07:00:00Z,d2eb0dd07fd415f266de87cadb95943311126b4eebe93633e7b81578c22a57b2,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00019,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/000002.SZ/history,2025-07-04T07:00:00Z,3733282b0d767015d40d7eaa8cef7e75aca4ed6342e588b39e412e6a8610b932,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-00020,A1,2025-06-06,2025-07-04,https://finance.yahoo.com/quote/601668.SS/history,2025-07-04T07:00:00Z,51cbc42b5d7c3b6e0122ad5d41d72380e4e43751383b05633781722530b9ff5d,否,,observed_yahoo_forward_trading_day,Adjusted close on 2025-07-04 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00001,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/600519.SS/history,2022-07-29T07:00:00Z,4b52ba9a814259410307a29910a0b5798e23a32afe66051b0fdfe1742a585324,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
A1-CN_A-20220630-00002,A1,2022-06-30,2022-07-29,https://finance.yahoo.com/quote/000858.SZ/history,2022-07-29T07:00:00Z,348600e669bd438876eac87fbaf75c908950908706a466e21302ba11749c31cb,否,,observed_yahoo_forward_trading_day,Adjusted close on 2022-07-29 is the earliest public end-of-day price observation used for primary_forward_close.,是
